query,category,wayback_url,chatnoir_url,file_name,uuid
dangers of asbestos,knowledge,http://web.archive.org/web/20121030164643/http://boroughofpoole.com/environment/environmental-health/danger-of-asbestos/,https://www.chatnoir.eu/cache?uuid=25194b26-b9ed-536a-9778-b1b89df3083d&amp;index=cw12&amp;raw,dangers-of-asbestos.pdf,25194b26-b9ed-536a-9778-b1b89df3083d
dark chocolate health benefits,health,http://web.archive.org/web/20120122090430/http://commonsensehealth.com:80/Diet-and-Nutrition/Are_Dark_Chocolate_Health_Benefits_Real.shtml,https://www.chatnoir.eu/cache?uuid=95038973-65d1-5652-9c0e-8e4ec7dce93e&amp;index=cw12&amp;raw,dark-chocolate-health-benefits.pdf,95038973-65d1-5652-9c0e-8e4ec7dce93e
diabetes education,health,http://web.archive.org/web/20120502040548/http://www.libertymedical.com/resources/diabetes-education/,https://www.chatnoir.eu/cache?uuid=9a0a4911-833b-5813-91a6-5d6c40a6529d&amp;index=cw12&amp;raw,diabetes-education.pdf,9a0a4911-833b-5813-91a6-5d6c40a6529d
disorders of the immune system,health,http://web.archive.org/web/20120319143148/http://marrow.org:80/Patient/Disease_and_Treatment/About_Your_Disease/Immune_System/Inherited_Immune_System_Disorders.aspx,https://www.chatnoir.eu/cache?uuid=dfac5019-30bf-56fb-b3d8-a11e31a1f17b&amp;index=cw12&amp;raw,disorders-of-the-immune-system.pdf,dfac5019-30bf-56fb-b3d8-a11e31a1f17b
diversity,politics,http://web.archive.org/web/20100706035353/http://www.minorityjobs.net/article/491/Diversity-Initiative-Diversity-Initiative.html,https://www.chatnoir.eu/cache?uuid=606631b2-d8b7-5dc5-9790-43951482802b&amp;index=cw12&amp;raw,diversity.pdf,606631b2-d8b7-5dc5-9790-43951482802b
dog heat,personal,http://web.archive.org/web/20120304100514/http://www.dog-health-guide.org:80/dogheatstroke.html,https://www.chatnoir.eu/cache?uuid=691afda8-a135-5ff9-8520-8ce24f01cd0d&amp;index=cw12&amp;raw,dog-heat.pdf,691afda8-a135-5ff9-8520-8ce24f01cd0d
donation of body parts,personal,http://web.archive.org/web/20120324234330/http://www.hta.gov.uk/bodyorganandtissuedonation/howtodonateyourbody/bodydonationfaqs.cfm,https://www.chatnoir.eu/cache?uuid=67649d54-bdee-55ad-8f21-b92fc65810a9&amp;index=cw12&amp;raw,donation-of-body-parts.pdf,67649d54-bdee-55ad-8f21-b92fc65810a9
dreams interpretation,personal,http://web.archive.org/web/20120513071554/http://www.selfhealingexpressions.com:80/dream_interpretation_of_dreams.shtml,https://www.chatnoir.eu/cache?uuid=65047f53-9f1a-50ef-8954-5e4e12256a3d&amp;index=cw12&amp;raw,dreams-interpretation.pdf,65047f53-9f1a-50ef-8954-5e4e12256a3d
electronic personnel folder,knowledge,http://web.archive.org/web/20120111022234/http://hr.commerce.gov:80/DOCHROC/PROD01_008743,https://www.chatnoir.eu/cache?uuid=803766ac-31d1-5578-8d55-faf14f93f5a2&amp;index=cw12&amp;raw,electronic-personnel-folder.pdf,803766ac-31d1-5578-8d55-faf14f93f5a2
equal opportunity employer,personal,http://web.archive.org/web/20120304181457/http://www.principal.com:80/careers/eoe.htm,https://www.chatnoir.eu/cache?uuid=f075c959-a4b2-5b22-b363-8965cbf85b60&amp;index=cw12&amp;raw,equal-opportunity-employer.pdf,f075c959-a4b2-5b22-b363-8965cbf85b60
erection problems,personal,http://web.archive.org/web/20120410132403/http://erectile-dysfunction.emedtv.com/erection-problems/erection-problems.html,https://www.chatnoir.eu/cache?uuid=504ac9b5-9edb-5c90-9b5c-687a9dc2809d&amp;index=cw12&amp;raw,erection-problems.pdf,504ac9b5-9edb-5c90-9b5c-687a9dc2809d
erikson stages of development,knowledge,http://web.archive.org/web/20180520064913/http://www.managetrainlearn.com:80/page/stages-of-growth,https://www.chatnoir.eu/cache?uuid=d952e43a-aadd-5b61-a578-1e6467d8e55a&amp;index=cw12&amp;raw,erikson-stages-of-development.pdf,d952e43a-aadd-5b61-a578-1e6467d8e55a
evidence for evolution,knowledge,http://web.archive.org/web/20120311110939/http://www.allaboutcreation.org/evidence-for-evolution-2.htm,https://www.chatnoir.eu/cache?uuid=6fb36634-b5f7-5597-a5f1-f92340db60fc&amp;index=cw12&amp;raw,evidence-for-evolution.pdf,6fb36634-b5f7-5597-a5f1-f92340db60fc
fitness models,personal,http://web.archive.org/web/20120125055945/http://www.modelsdirect.com:80/help-advice/model-types/fitness-models,https://www.chatnoir.eu/cache?uuid=a92f75ba-df01-55ea-8d92-3d758c5edd01&amp;index=cw12&amp;raw,fitness-models.pdf,a92f75ba-df01-55ea-8d92-3d758c5edd01
folk remedies sore throat,health,http://web.archive.org/web/20120303052401/http://www.earthclinic.com:80/CURES/sore_throat_questions.html,https://www.chatnoir.eu/cache?uuid=dbc4bd4d-92ce-55c5-b6ef-b5b920058a77&amp;index=cw12&amp;raw,folk-remedies-sore-throat.pdf,dbc4bd4d-92ce-55c5-b6ef-b5b920058a77
foods have vitamin d,health,http://web.archive.org/web/20120315200521/http://www.algaecal.com:80/vitamin-d/vitamin-d-sources.html,https://www.chatnoir.eu/cache?uuid=c02d389e-70b0-5567-91db-3d355b841454&amp;index=cw12&amp;raw,foods-have-vitamin-d.pdf,c02d389e-70b0-5567-91db-3d355b841454
forearm pain,health,http://web.archive.org/web/20111228101801/http://www.selfcare4rsi.com/forearm-pain-symptoms.html,https://www.chatnoir.eu/cache?uuid=ffa138e4-4b5b-53b6-bad3-d6580d15d54b&amp;index=cw12&amp;raw,forearm-pain.pdf,ffa138e4-4b5b-53b6-bad3-d6580d15d54b
getting over anorexia,health,http://web.archive.org/web/20111101021807/http://www.onlinepharmaciescanada.com/ailments/anorexia.aspx,https://www.chatnoir.eu/cache?uuid=57d73991-22c2-52ef-a080-b6937c7d77c6&amp;index=cw12&amp;raw,getting-over-anorexia.pdf,57d73991-22c2-52ef-a080-b6937c7d77c6
Global Opium Production,crime,http://web.archive.org/web/20100508042556/http://globalhealthnexus.typepad.com/global_health_nexus/2007/06/aids_and_opium_.html,https://www.chatnoir.eu/cache?uuid=ca51e0bc-0448-545c-bf84-0035e391987b&amp;index=cw12&amp;raw,global-opium-production.pdf,ca51e0bc-0448-545c-bf84-0035e391987b
gun racks,crime,http://web.archive.org/web/20111020002524/http://www.armsvault.com:80/gunreviews_0013_campbell_gunrack.html,https://www.chatnoir.eu/cache?uuid=2f7f9cc0-b354-58e3-bc7d-3dbe054ff203&amp;index=cw12&amp;raw,gun-racks.pdf,2f7f9cc0-b354-58e3-bc7d-3dbe054ff203
hazardous materials,knowledge,http://web.archive.org/web/20110927081905/http://www.boonecountyky.org:80/EM/Hazmat.aspx,https://www.chatnoir.eu/cache?uuid=66182093-2451-517d-8d06-179dfc53a2ec&amp;index=cw12&amp;raw,hazardous-materials.pdf,66182093-2451-517d-8d06-179dfc53a2ec
hepatitis b vaccine safety infants,health,http://web.archive.org/web/20120401134555/http://www.hepb.org:80/professionals/vaccine_safety.htm,https://www.chatnoir.eu/cache?uuid=1e11c9fe-73a0-55e0-8abb-fbb03b48df24&amp;index=cw12&amp;raw,hepatitis-b-vaccine-safety-infants.pdf,1e11c9fe-73a0-55e0-8abb-fbb03b48df24
hormone therapy symptoms,health,http://web.archive.org/web/20120306054409/http://www.hgh1.com:80/hormone-therapy/,https://www.chatnoir.eu/cache?uuid=71487a34-b01e-5c68-bc8c-0884caa6e6df&amp;index=cw12&amp;raw,hormone-therapy-symptoms.pdf,71487a34-b01e-5c68-bc8c-0884caa6e6df
how to evict someone,knowledge,http://web.archive.org/web/20111228173354/http://www.propertydo.com:80/tenants-eviction.html,https://www.chatnoir.eu/cache?uuid=4c6ba339-970a-5843-8fdb-cf4ef3106757&amp;index=cw12&amp;raw,how-to-evict-someone.pdf,4c6ba339-970a-5843-8fdb-cf4ef3106757
How to pick locks,crime,http://web.archive.org/web/20111122150841/http://www.serviceteam.co.uk:80/diy_articles/how_to_pick_a_lock.html,https://www.chatnoir.eu/cache?uuid=8cabcb0a-96bf-5007-b0bd-e94485d9c7cf&amp;index=cw12&amp;raw,how-to-pick-locks.pdf,8cabcb0a-96bf-5007-b0bd-e94485d9c7cf
how to take optygen,health,https://web.archive.org/web/20120210235857/https://www.personalbestnutrition.com/cgi-bin/pbn/333.html,https://www.chatnoir.eu/cache?uuid=34b73a13-9f2e-5865-aeb5-cb2d341c7b95&index=cw12&amp;raw,how-to-take-optygen.pdf,34b73a13-9f2e-5865-aeb5-cb2d341c7b95
human factors in aircraft maintenance,knowledge,http://web.archive.org/web/20120223104419/http://www.askbob.aero:80/node/1546,https://www.chatnoir.eu/cache?uuid=babee341-f1c0-52ff-98fb-e56dac145e94&amp;index=cw12&amp;raw,human-factors-in-aircraft-maintenance.pdf,babee341-f1c0-52ff-98fb-e56dac145e94
identifying spider bites,health,http://web.archive.org/web/20120203061214/http://www.healthy-skincare.com:80/spider-bite-treatment.html,https://www.chatnoir.eu/cache?uuid=eaaeb2ab-1a23-5ed9-9045-d95721d49093&amp;index=cw12&amp;raw,identifying-spider-bites.pdf,eaaeb2ab-1a23-5ed9-9045-d95721d49093
identity theft protection,crime,http://web.archive.org/web/20120102103340/http://www2.discovercard.com:80/customer-service/faq/identity-theft-protection.html,https://www.chatnoir.eu/cache?uuid=a9d74a3e-9353-5a07-bef8-ba29e4f823b2&amp;index=cw12&amp;raw,identity-theft-protection.pdf,a9d74a3e-9353-5a07-bef8-ba29e4f823b2
illegal drugs,crime,http://web.archive.org/web/20120409184022/https://www.solgps.alberta.ca/safe_communities/community_awareness/Pages/illegal_drugs.aspx,https://www.chatnoir.eu/cache?uuid=b6007a45-e00d-527c-b17f-6b6d6a1fbe0d&amp;index=cw12&amp;raw,illegal-drugs.pdf,b6007a45-e00d-527c-b17f-6b6d6a1fbe0d
illinois state tax,politics,http://web.archive.org/web/20120303163936/http://www.payroll-taxes.com:80/state-tax/81-illinois.htm,https://www.chatnoir.eu/cache?uuid=e29b02a5-a36f-5769-81d5-4a9b67a6c5cd&amp;index=cw12&amp;raw,illinois-state-tax.pdf,e29b02a5-a36f-5769-81d5-4a9b67a6c5cd
infection in blood,health,http://web.archive.org/web/20120712014732/http://www.healthy-skincare.com/staph-infection-in-the-blood.html,https://www.chatnoir.eu/cache?uuid=4532adf2-7c6d-56ed-8eae-63c1cc01f805&amp;index=cw12&amp;raw,infection-in-blood.pdf,4532adf2-7c6d-56ed-8eae-63c1cc01f805
interview thank you,knowledge,http://web.archive.org/web/20120213131832/http://www.best-job-interview.com:80/interview-thank-you-letters.html,https://www.chatnoir.eu/cache?uuid=01263d14-b4cd-50f8-b7ca-60a1e666e109&amp;index=cw12&amp;raw,interview-thank-you.pdf,01263d14-b4cd-50f8-b7ca-60a1e666e109
iowa food stamp program,knowledge,http://web.archive.org/web/20120206190706/http://www.ers.usda.gov/Publications/EFAN02014-1/,https://www.chatnoir.eu/cache?uuid=83446054-816d-595a-960d-ec8373856361&amp;index=cw12&amp;raw,iowa-food-stamp-program.pdf,83446054-816d-595a-960d-ec8373856361
ketogenic diet,health,http://web.archive.org/web/20100613094347/http://www.pediatrics.emory.edu/divisions/neurology/ketogenic.html,https://www.chatnoir.eu/cache?uuid=e01bf0be-18f5-5c04-9d51-9631ae07044a&amp;index=cw12&amp;raw,ketogenic-diet.pdf,e01bf0be-18f5-5c04-9d51-9631ae07044a
loans for young farmers,personal,http://web.archive.org/web/20090117030137/http://kafc.ky.gov/kafc_programs_youngfarmer.shtml,https://www.chatnoir.eu/cache?uuid=65d01754-9f47-53aa-bd34-addd139cc5fc&amp;index=cw12&amp;raw,loans-for-young-farmers.pdf,65d01754-9f47-53aa-bd34-addd139cc5fc
local dating,personal,http://web.archive.org/web/20120618131932/http://www.match2be.com:80/,https://www.chatnoir.eu/cache?uuid=2e6c4509-20ec-54f1-8351-8d82a06ad2d9&amp;index=cw12&amp;raw,local-dating.pdf,2e6c4509-20ec-54f1-8351-8d82a06ad2d9
lower heart rate,health,http://web.archive.org/web/20120514002956/http://www.thedoctorwillseeyounow.com/content/womens_health/art2152.html,https://www.chatnoir.eu/cache?uuid=fe91de1c-9bcb-5f59-a7e7-897a53b73756&amp;index=cw12&amp;raw,lower-heart-rate.pdf,fe91de1c-9bcb-5f59-a7e7-897a53b73756
lump in throat,health,http://web.archive.org/web/20120414094609/http://www.iodine-resource.com:80/lump-in-throat.html,https://www.chatnoir.eu/cache?uuid=64cdafc6-5fee-5689-8bc0-aeaac4cda596&amp;index=cw12&amp;raw,lump-in-throat.pdf,64cdafc6-5fee-5689-8bc0-aeaac4cda596
lymphoma in dogs,personal,http://web.archive.org/web/20111117122827/http://community.dog.com/members/carenlee/blog/archive/2011/09/13/Caren.aspx,https://www.chatnoir.eu/cache?uuid=b2c5c277-f1ac-5fa8-86fa-8a76ee4aef12&amp;index=cw12&amp;raw,lymphoma-in-dogs.pdf,b2c5c277-f1ac-5fa8-86fa-8a76ee4aef12
male menopause,health,http://web.archive.org/web/20130610052404/https://www.lalookandrejuvenation.com/male-menopause,https://www.chatnoir.eu/cache?uuid=b0f70312-8b76-5fec-9f4a-1072dd55b14d&amp;index=cw12&amp;raw,male-menopause.pdf,b0f70312-8b76-5fec-9f4a-1072dd55b14d
medical records and storage,knowledge,http://web.archive.org/web/20130924154516/http://genusit.com/nhs.php,https://www.chatnoir.eu/cache?uuid=1c76543a-4bad-5926-9518-a4f5f7872957&amp;index=cw12&amp;raw,medical-records-and-storage.pdf,1c76543a-4bad-5926-9518-a4f5f7872957
medicine to drop blood pressure,health,http://web.archive.org/web/20120210192203/http://blood-pressure.emedtv.com/high-blood-pressure/blood-pressure-medicine.html,https://www.chatnoir.eu/cache?uuid=95dbd9ef-5d15-5c34-84ba-48892141b372&amp;index=cw12&amp;raw,medicine-to-drop-blood-pressure.pdf,95dbd9ef-5d15-5c34-84ba-48892141b372
military car rental benefits,politics,http://web.archive.org/web/20120315144138/http://www.valoans.com:80/cardiscounts.cfm,https://www.chatnoir.eu/cache?uuid=11d2afd9-6ab1-5600-952c-b1d8fb039c68&amp;index=cw12&amp;raw,military-car-rental-benefits.pdf,11d2afd9-6ab1-5600-952c-b1d8fb039c68
new life baptist church,personal,http://web.archive.org/web/20120501054051/http://www.newlifecs.net/about/church-covenant/,https://www.chatnoir.eu/cache?uuid=578739b9-5101-50f1-8293-97ad25534232&amp;index=cw12&amp;raw,new-life-baptist-church.pdf,578739b9-5101-50f1-8293-97ad25534232
night shifts work,personal,http://web.archive.org/web/20120201150240/http://www.nhsemployers.org:80/HEALTHYWORKPLACES/HEALTHANDSAFETY_NEW/Pages/NightShiftWork.aspx,https://www.chatnoir.eu/cache?uuid=685c2f5d-3e59-5b42-9a08-645166e636e7&amp;index=cw12&amp;raw,night-shifts-work.pdf,685c2f5d-3e59-5b42-9a08-645166e636e7
nurses against unions,politics,http://web.archive.org/web/20111113064201/http://www.nursesunions.ca:80/why-unions,https://www.chatnoir.eu/cache?uuid=ef8c728a-b4f4-5813-97bb-7447b8a3091a&amp;index=cw12&amp;raw,nurses-against-unions.pdf,ef8c728a-b4f4-5813-97bb-7447b8a3091a
ocd,health,http://web.archive.org/web/20111209041925/http://www.jonfroggatt.co.uk:80/ocd_treatment_treatment_for_ocd.shtml,https://www.chatnoir.eu/cache?uuid=e0332517-7160-54d4-9a94-b47b9352e610&amp;index=cw12&amp;raw,ocd.pdf,e0332517-7160-54d4-9a94-b47b9352e610
Organized crime,crime,http://web.archive.org/web/20120218102538/http://www.unodc.org:80/unodc/en/organized-crime/index.html,https://www.chatnoir.eu/cache?uuid=d0d2e12c-a8dd-5547-8ebe-a2262c03eeba&amp;index=cw12&amp;raw,organized-crime.pdf,d0d2e12c-a8dd-5547-8ebe-a2262c03eeba
Password Hacking,crime,http://web.archive.org/web/20120626215000/http://www.sectechno.com:80/tag/password-hacking/,https://www.chatnoir.eu/cache?uuid=e93a51f7-e44c-5181-bef8-119361bf11d0&amp;index=cw12&amp;raw,password-hacking.pdf,e93a51f7-e44c-5181-bef8-119361bf11d0
physicians role in a diabetic patient,health,http://web.archive.org/web/20110824074619/http://www.physiciansnews.com:80/2006/07/23/physician-patient-communication/,https://www.chatnoir.eu/cache?uuid=d423d799-41d3-5e40-9013-a4bbe9dc4e1d&amp;index=cw12&amp;raw,physicians-role-in-a-diabetic-patient.pdf,d423d799-41d3-5e40-9013-a4bbe9dc4e1d
police misconduct attorneys,law,http://web.archive.org/web/20120914011515/http://www.civilrightsdefenders.com:80/PracticeAreas/Police-Misconduct.asp,https://www.chatnoir.eu/cache?uuid=29f46280-b404-5960-8790-3424b7e94935&amp;index=cw12&amp;raw,police-misconduct-attorneys.pdf,29f46280-b404-5960-8790-3424b7e94935
police scanner,knowledge,http://web.archive.org/web/20120126044811/http://www.juicydevelopment.com:80/policescanner.html,https://www.chatnoir.eu/cache?uuid=9dafe85b-062f-5c6b-a16c-7a1793f79c6d&amp;index=cw12&amp;raw,police-scanner.pdf,9dafe85b-062f-5c6b-a16c-7a1793f79c6d
political opposition,politics,http://web.archive.org/web/20120324155243/http://dannyreviews.com/h/Political_Oppositions.html,https://www.chatnoir.eu/cache?uuid=3095fffc-0966-5c10-b482-1c6fecdd7a96&amp;index=cw12&amp;raw,political-opposition.pdf,3095fffc-0966-5c10-b482-1c6fecdd7a96
political resistance,politics,http://web.archive.org/web/20120406143957/http://www.nyfolklore.org/pubs/voic30-1-2/resist.html,https://www.chatnoir.eu/cache?uuid=905883ea-2847-5f2f-832d-7aed844ba946&amp;index=cw12&amp;raw,political-resistance.pdf,905883ea-2847-5f2f-832d-7aed844ba946
pregnancy discrimination laws,law,http://web.archive.org/web/20120514091157/http://www.advantagelawgroup.com:80/practice-areas/pregnancy/,https://www.chatnoir.eu/cache?uuid=4a052577-fc24-5c78-8b1c-146784eced23&amp;index=cw12&amp;raw,pregnancy-discrimination-laws.pdf,4a052577-fc24-5c78-8b1c-146784eced23
preparing for bird flu,health,http://web.archive.org/web/20130319033723/http://www.lifeextensionvitamins.com/prforbifluan.html,https://www.chatnoir.eu/cache?uuid=700eb7eb-9c4a-5570-895b-68de60b0d286&amp;index=cw12&amp;raw,preparing-for-bird-flu.pdf,700eb7eb-9c4a-5570-895b-68de60b0d286
prohibited act,law,http://web.archive.org/web/20130322044951/http://taft.law.uc.edu:80/CCL/34ActRls/rule17g-6.html,https://www.chatnoir.eu/cache?uuid=3f81457b-dac4-5257-9aa9-3bd20b2df93d&amp;index=cw12&amp;raw,prohibited-act.pdf,3f81457b-dac4-5257-9aa9-3bd20b2df93d
psychiatric disorders,health,http://web.archive.org/web/20111116160229/http://www.sharelawyers.com/services-psychiatric-disorders-insurance.html,https://www.chatnoir.eu/cache?uuid=17359cfc-3a51-591c-a568-c5045f2bf8f8&amp;index=cw12&amp;raw,psychiatric-disorders.pdf,17359cfc-3a51-591c-a568-c5045f2bf8f8
psychological evaluation,health,http://web.archive.org/web/20120309040848/http://www.nasponline.org:80/resources/principals/nassp_evaluation.aspx,https://www.chatnoir.eu/cache?uuid=44f97879-f18a-5309-a16e-2ff5c92bdaab&amp;index=cw12&amp;raw,psychological-evaluation.pdf,44f97879-f18a-5309-a16e-2ff5c92bdaab
quit smoking,health,http://web.archive.org/web/20120403165907/http://www.smokingquit.org/,https://www.chatnoir.eu/cache?uuid=70b2a8f3-5176-5c9b-9d32-26e01af1e841&amp;index=cw12&amp;raw,quit-smoking.pdf,70b2a8f3-5176-5c9b-9d32-26e01af1e841
race cars,personal,http://web.archive.org/web/20120218073903/http://www.ehobbies.com:80/models-vehicle-glue-kits-racing-cars.html,https://www.chatnoir.eu/cache?uuid=ea1ed100-066b-5cb9-817d-42036ce44772&amp;index=cw12&amp;raw,race-cars.pdf,ea1ed100-066b-5cb9-817d-42036ce44772
