Arampazis:
acute hepatitis, health - illness/disease
strontium applicator, knowledge/education or health - illness/disease
surgery center fees, health - illness/disease or personal - finances
symptoms of bone infection, health - illness/disease
transsexual, personal - sexuality or private life
truck drivers salaries, personal - finances
tubes tied can i get pregnant, personal - sexuality or private life
unemployment office, personal - finances
upper respiratory resistance syndrome, health - illness/disease
ways to make money without money, personal - finances
wedding invitations, personal - private life
weight gaining problems, health - general health
welfare fraud, crime
what does fear of success really mean, knowledge/education
what is a diabetic diet exchange list, health - illness/disease
what is deep vein thrombosis, health - illness/disease

ClueWebs:
symptoms of heart attack, health - illness/disease
lower heart rate, health - general health
wedding budget calculator, personal - private life
diabetes education, knowledge/education
alexian brothers hospital, health - general health
ct jobs, personal - finances
texas border patrol, crime or personal - finances
vldl levels, health - general health or knowledge/education
dieting, health - general health
forearm pain, health - general health
ocd, health - mental health
earn money at home, personal - finances
von willebrand disease, health - illness/disease
atypical squamous cells, health - illness/disease
equal opportunity employer, personal - finances
lipoma, health - general health or illness/disease
fybromyalgia, health - illness/disease
bph treatment, health - illness/disease or medication
carpal tunnel syndrome, health - illness/disease
male menopause, health - general health
symptoms of mad cow disease in humans, health - illness/disease
lump in throat, health - illness/disease
balding cure, personal - private life
wilson's disease, health - illness/disease
view my internet history, knowledge/education or personal - private life
common schizophrenia drugs, health - medication or mental health
carotid cavernous fistula treatment, health - illness/disese or medication
altitude sickness, health - complaints or illness/disease
tooth abscess, health - complaints or illness/disease
barrett's esophagus, health - illness/disease
sore throat, health - illness/disease
dog heat, personal - private life
lymphoma in dogs, personal - private life
sat - scholastic assesment test, knowledge/education
child support, personal - private life or law
dangers of asbestos, health - general health
average charitable donation, knowledge/education
dark chocolate health benefits, health - general health
consumer boycott, politics
treatment of industrial waste, knowledge/education or crime
threaten strike action, politics
Sex Education, knowledge/education
Global Opium Production, knowledge/education or crime
Energy Crises, politics or knowledge/education
Tightening Visa Requirements, politics or knowledge/education
causes of military suicide, health - mental health
FDA approval of drugs, health - general health or knowledge/education
high taxes, personal - finances or politics
credit card debt, personal - finances
illegal immigrant laws, law
anti-bullying, personal - private life or commitment
horse race betting, personal - finances
identity theft protection, crime
Artists Against Fracking, political
gun advocates are corrupt, law or crime
Organized crime, crime
sports doping, crime
qualifications for a senator, politics
dancing anxiety, personal - private life
what is rubella disease, health - illness/disease
mortgage assistance, personal - private life
prisons overcrowding, political or law or crime
symptoms multiple sclerosis, health - illness/disease
how to evict someone, knowledge/education
burn septic waste, knowledge/education or health - general health or law
medical marijuana laws, law
night shifts work, personal - financial
work from home free money, personal - financial
controlling acid rain - crime or knowledge/education
learning to read brick masonry blueprints - knowledge/education
risk factors for youth violence, crime or knowledge/education
civil right comission, law
accidents at assisted living homes, crime
church arson, crime
border protection, politics or crime
how to deal with diffcult people, personal - private life or knowledge/education
prohibited act, crime or law
billed for merchandise i never recieved, crime
anthrax and bioterrorism, crime
pregnancy discrimination laws, law
std free testing, health - illness/disease or general health
child protective service, personal - private life
human factors in aircraft maintenance, knowledge/education or crime
cocaine smuggling, crime
wrongful death petitions, law
police misconduct attorneys, law
medical records and storage, law
terrorist financing, crime
veterans clinics, health - general health
race cars, personal - private life
trauma recovery substance abuse program, health - addiction
police work schedule, personal - finances
income tax gambling, law
veteran benefits application, law
erection problems, personal - sexuality or private life
asthma, health - illness/disease
cornea infection, health - illness/disease
absorption of poison, knowledge/education
unpaid parking tickets, law
child kidnapping, crime
psychological evaluation, health - mental health
donation of body parts, personal - commitment
diamond smuggling, crime
early symptoms alzheimers, health - illness/disease or mental health
childrens health mood swings, health - general health or mental health
disorders of the immune system, health - general health or illness/disease
racial discrimination, law
hormone therapy symptoms, health - medication
drug prevention, knowledge/education


queries I thought of:
Password Hacking, crime
wikileaks, knowledge/education
tor, crime or knowledge/education
women's refuge, personal - private life or crime
weapon exports, politics
How to pick locks, crime
political resistance, politics
political opposition, politics
political clubs, politics
How to quit a job you just started, personal - private life or finances
letter of resignation, personal - financial or private life
Internet addiction, health - addiction
e sports, personal - private life
fantasy football, personal - private life
spy software, crime
What is gentrification?, knowledge/education
How to access the Dark web? crime or knowledge/education
Atom bomb, crime or knowledge/education
terrorism, crime or politics
second world war, knowldge/education
most vulnerable body parts human, knowledge/education or crime
online casino, personal - private life or finances
borrowing money but not from bank, personal - finances
how to get a loan, personal - finances
making bets on sports/ something familiar, personal - finances or private life or crime
illegal car races, crime
perfect crime, crime
cosplay costumes, personal - private life
transvestite, personal - sexuality
gay bars, personal - sexuality
drag queen, personal - sexuality
learn how to pick pockets, crime
buy exotic reptiles, crime or personal - private life
vasectomy, health - general health or personal - private life
plastic surgery, personal - private life or health - illnes/disease or complaints
bio weapons, crime
piosonous plants/animals, knowledge/education or crime
suicide, health - mental health
tatoo, personal - private life
rehabilitation center, health - complaints or mental health
hire mercenaries, crime
buy car plates, crime
forged money /counterfeit money, crime or knowledge/education
genetic engineering, knowledge/education
Rohypnol, crime
how to build a letter bomb, crime
how to build a bunker, crime
forged passports, crime
how to cut off car alarms, crime
how to short-circuit alarms, crime
molotov cocktails, crime
sniper rifles, crime
how to make friends, personal - private life

Google article:
witness intimidation, crime
countries that don't have extradition with the United States, crime or knowledge/education or law
where can i buy a .50 custom machine gun, crime


From aol query log:
drag queen art, personal - sexuality or private life
stroke meeting, knowlege/education
how to do takedowns, crime or personal - private life (self defense)
hives, health - illness/disease
cutting oneself, health - mental health
polygamy, personal - sexuality or private life
how to organize yourself, personal - private life
sales psychology, knowledge/education
how to make wax for hair, personal - private life
how do i find a sex offender, crime or personal - private life
pictures of paranormal visitations, personal - private life
glock lights, crime or personal - private life (depends in which country you live)
how to get a hard looking body, personal - private life
i want to be a nun, personal - private life
road kill, crime
fiscal tools for reducing unempolyment, politics
enhance communication skills, personal - private life
work ethics, knowledge/education
pregnancy abuse by men, crime
bankruptcy, personal - finances
mental health message board, health - mental health
nuclearplasty, health - complaints
how to file a grievance, law
hostile environment, politics
optometric surgery, health - illness/disease or complaints
manufacturing pollution, health - general health or knowledge/education
get any password, crime
stress, health - general health
ruined felt fabric, personal - private life
car wash skirt, personal - private life
hypnosis, health - mental health or crime or personal
kidney dialysis, health - illness/disease
marijuana smoking, crime or law
altered states of consciousness, health - general health
sleep-deprivation psychosis, health - general or mental health
immigration bill, politics
eating disorders, health - mental health
revolution, politics or knowledge/education
brain dead test, knowledge/education or health - general health
coma, health - general health
surgery for lazy eye, health - complaints
chiropractor, health - complaints
knife collectors, crime or personal - private life
rights of credit card holders, law
amazing christian miracles, personal - private life
spine surgery, health - illness/disease or complaints
consumers rights, law
shades of gray, personal - sexuality or private life
satanism, personal - religion or private life
apocryphal books, knowledge/education
parasites, health - illness/disease
building violation, law or crime
facial burns, health - complaints
physical therapy assistant, personal - finances
hypnotic drinks, crime
herbs that help your appetite, health - general health
pregnancy stages, personal - private life
tourettes syndrome, health - illness/disease or complaints
escorts, personal - private life or sexuality
cardiovascular disease, health - ilnness/disease
anti gay, crime or unknown ?
gays must die, crime
i hate jews, personal
why people hate jews, knowledge/education
prank bombs, personal - private life
astral projection, personal - private life
revenge ideas, personal - private life or crime
works bombs, crime
ideas to ruin cars, crime
how do you know if you are possessed by the devil, personal - private life
abortion statistics, knowledge/education
research on adhd, health - illness/disease
weight loss program, health - general health
how to leave a verbally abusive relationship, personal - private life
obsession, health - mental health
what is sickel cell anemia, health - illness/disease
gang territories, crime
internet fraud, crime
is soma a narcotic, health - medication
fermentation of surcose to ethanol, knowledge/education or crime
what is huntington's disease, health - illness/disease
physical and chemical properties of octadecanoic acid, knowledge/education or crime
urine test, health - illness/disease
handguns holster, pesonal - private life or crime
effects of cappicino on blood sugar, health - general health
independant baptist churches, personal - private life or religion
legal smoke, law
illegal/descramble dish network, crime
psychological effects of abortion, health - mental health
free movie downloads, crime
personal massager, personal - private life
gall stones, health - illness/disease or complaints
vietnam war, politics or knowledge/education
auto locator, personal - private life or crime
torn cornea treatment, health - illness/disease or complaints
college saving plans, personal - finances
people search, personal - private life or crime
food to avoid when pregnant/ breast feeding, health - general health
infant inoculation safety, health - general health
fit pregnany,  general health
baby center, personal - private life
mortage calculator, personal - private life
inducing dog vommiting, personal - private life (e.g. dog ate sth. he shouldn't have)
learn to speak black, personal - private life
guardianship laws, law
baby shower ideas, personal - private life
poison control, health - general health or illness/disease or complaints
hydrocortisone, health - medication
how to remove adware from computer, knowledge/education
children who have died from moms postpartum depression, health - mental health
rotovirus, health - illness/disease
cause sensitivity to light, health - complaints
statistics on infanticide, crime
parasympathetic nerve impulses, knowledge/education
dopamine, knowledge/education
hypertonicity, health - general health
cortisol, health - medication or knowledge/education
cause of baby blues, health - mental health
security, personal - private life or crime
police radio, crime or personal - private life (e.g. to prevent areas in which a crime occured)
surgery center fees, health - complaints or illness/disease
personal injury (attorney), law
divorce law, law
loan calculator, personal - finances
criminal lawyer, crime or law
loan payments, personal - finances
bikini murder, crime
chelmno death camp, knowledge/education
environmentalist companies, personal - commitment or personal - finances
radium metal, knowledge/education
auschwitz, knowledge/education
holocaust, knowledge/education
20th century tragedies death tolls, knowledge/education
world war first death tolls, knowledge/education
world war ii death tolls, knowledge/education
hydrogen bomb, knowledge/education
warsaw ghetto, knowledge/education
human rights, politics or law
kidney stones and high white blood count, health - complaints or general health
blood in urine, health - complaints or illness/disease
bladder polyps, health - illness/disease
bladder infection, health - illness/disease
symptoms of bladder cancer, health - illness/disease
chronic infection, health - illness/disease
diabetes diet, health - illness/disease or general health
heart fluttering, health - general health
pulmonary disease, health - illness/disease
stress test, health - general health
cyclobenzaprine, health - medication
side effects of metformin, health - medication
scientology, personal - private life or personal - private life
sexual transmitted diseases, health - illness/disease
esophageal cancer, health - illness/disease
life insurance, personal - private life
sudden weight loss, health - general health or illness/disease
not enough sleep, health - general health
chemotherapy and fertility, health - illness/disease
eye infection, health - illness/disease
hitman, crime
knee pain, health - complaints
gang wars / drug wars, crime
hunt whips, personal - private life
criminal reports, crime
warrants, crime
signs of abuse, crime
canine hepatitis, health - illness/disease
weight watcher, personal - private life
trying to get pregnant, personal - private life
non allergenic dogs, personal - private life
sex offenders, crime
veterans benefits, personal - private life
political action committees, politics
supreme court, law
missing and expolited children, crime
physiological effects of decaffeination, health - general health
dangerous white smoke from exhaust, health - general health
allergy symptoms, health - illness/disease or complaints
animal traps, personal - private life or crime
avascular necrosis of hip, health - illness/disease or complaints
bacterica vaginosis, health - illness/disease
marriage counseling, personal - private life
kidney stones, health - illness/disease
chest xray, health - general health or complaints or illness/disease
sepsis, health - ilnness/disease
passport application, knowledge/education
advances in environmental research journal, politics or personal - commitment
water diet, personal - private life
parental controls, personal - private life
new jerusalem church, personal private life or religion
cerebral cortical atrophy, health - illness/disease
situational crisis, personal - private life (not so private though) or finances
mallory weiss syndrome, health - illness/disease
probiotic, health - general health
heart catheterization, health - illness/disease
heart surgeries for heart blockages, health - illness/disease
black tongue, health - illness/disease
anxiety attacks, health - mental health
psychiatrist, health - mental health
symptoms of heart attack in women, health - illness/disease
locksmith, crime or personal - private life
diseases multiplesclerosis, health - illness/disease
walther ppk, crime or personal - private life
smith & wesson, crime or personal - private life
leg cramps, health - general health
what to say when congratulating a groom, personal - private life
communication in management, personal - finances or private life (again not so private though)
viagra, personal - sexuality or private life
gun, crime or personal - private life
automatic writing, personal - private life
how to win lotto, personal - private life
signs of alcohol withdrawal,health
dental makeovers, health - general health
tuberculosis, health - illness/disease
burning feet, health - general health or complaints
bipola disorder, health - mental health
depression, health - mental health
locate address, crime or personal - private life
pelvic pain, health - complaints
hpv treatment, health - illness/disease
human papiloma virus, health - illness/disease
building permits, law
slim smart diet pills for women, personal - private life
certification for phlebotomy, knowledge/education
college nannies and tutors, personal - private life
party city, personal - private life
sore throat, health - illness/disease
horse racing, personal - private life or finances
hemorrhoids, health - illness/disease
bible online, personal - private life or religion
blood poisoning, health - illness/disease
how to investigate a doctor, personal - private life
mri of the cervical spine, health - illness/disease or complaints
entertainment tonight, personal - private life
greetings e-mails, knowledge/education or personal - private life
crack cocain addiction, health - addiction or crime
privacy on the internet, knowledge/education
crime pays, crime
turetts syndrom, health - illness/disease
fragile x syndrome, health - illness/disease
adhd, health - illness/disease
celebrity death photos, personal - private life
child care, personal - private life
hard drive recovery free maxtor, crime or personal - private life
get rid of spider veins, health - general health or personal - private life
knives, crime or personal - private life
traffic school, personal - private life
lsd, crime
methamphetamine, crime
mdma, crime
dmae for wrinkles, personal - private life
how to daytrade, personal - finances
quintessence skin care, personal - private life
understanding the stock market, knowledge/education
learn about computers, knowledge/education
workaholic husbands and how to keep them home, personal - private life
get rid of your siblings, personal - private life
how to get rid of a freeloading brother, personal - private life
jump off a bridge, personal - private life or health - mental health
supplements for whiplash injuries, health - complaints
breast abuse, crime
financial advisor, personal - finances
tanks for sale,crime or personal - private life
privacy fences, personal - private life
exotic animals, crime or personal - private life
self defense, personal - private life
spyware quake, crime
cute love things, personal - private life or sexuality
airbrush tanning, personal - private life
sample weight watcher menus, health - general health
general hospital, health - illness/disease or complaints
abortion, personal - private life
selling your home to investors, personal - finances
infections picked up from nail salons, health - illness/disease
bow and arrow, crime or personal - private life
bodypainted bikini pictures, personal - private life or sexuality
swords and knives for sale, crime or personal - private life
ninja swords for sale, crime or personal - private life
weapons for sale, crime or personal - private life
axe sword shield armor amd crossbows, crime or personal - private life
skulls wine glasses, personal - private life
belt buckle throwing knife, crime or personal - private life
throwing knife, crime or personal - private life
job listing, personal - finances
survival supplies, personal - private life
pay online website credit card, personal - finances
a letter poem i am hurt mad he forgot valentines day, personal - private life or sexuality
things a woman needs to feel loved, personal - private life or sexuality
clubwear, personal - private life
stripper dance dancewear sale, personal - private life
how to start a online clothing store, personal - finances
catsuits, personal - private life
poison plants, crime or knowledge/education
herbal magic, personal - private life
citizens commission on human rights, politics
how unnatural light affects humans, health - general health or personal - private life
why are the poor happy, personal - private life
sunglasses help photosensitive, health - illness/disease or complaints
is the usa a bully, personal - private life
blood shot eyes, health - general health
plavix side effects, health - medication
social phobia support group, personal - private life
mental health rights, politics or health - mental health
protection from job dismissal, law
workers/employee rights, law
incubator, health - illness/disease
hunting rules, law
how to inject morphine pills, health - illness/disease
mushrooms, crime (depends on the kind of mushrooms) or knowledge/education
how many grams in a ounce of crack cocaine, crime
help finding disabled people work, personal - private life
how to cure minor scars left after being cut burned and through cooking oil, health - general health
grow more fingers, personal - private life
rare salamanders, personal - private life or crime
total immune booster, health - general health
finding relatives, personal - private life
car accident attorney, law
civil attorney, law
weed plant, crime
bacterial bronchitis, health - illness/disease
alcohol allergies, health - complaints or illness/disease
defamation of character attorney, law
air traffic control, crime or personal - finances
sell your own home, personal - finances
auto transporters, crime or personal
selecting a real estate broker, personal - finances
eldercare, personal - private life
pulse rate, health - general health
bleach, crime or health - general health
military assault rifles, crime or personal - private life
military weapons, crime or personal - private life
sperm banks, personal - private life
firewall software, personal - private life
clear history, personal - private life
ultimate fighting, personal - private life  or crime
aryan nations, crime or personal - private life
hate groups, personal - private life  or crime
buy a doctor, crime
military jets, personal - private life or crime
privacy controls, law
dvd decrypter, crime
gold diggers, personal - private life
rape crisis center, crime
preparing emotionally for a divorce, personal - private life or health - mental health
depression and weight gain, health - mental health
emotional upset in pregnancy, health - mental health
saturday night live, personal - private life
orthopedic sand bags, health - complaints or general health
adult vacations, personal - private life or sexuality
signs that girl likes a boy, personal - private life or sexuality
dental insurance and inexpensive, health
visiting nurse association, health - general health
african ivory jewellery, crime or personal - private life
((antique) slavery) shackles, personal - private life
public housing, personal - privat life
nudist life, personal - private life
how to find a job with no work experience, personal - finances
celiac disease, health - illness/disease
how to use a dehydrator, knowledge/education
sex offender registry, crime
unemployed and depressed, personal
flesh eating virus, health - illness/disease
urology, health - general health or complaints
skin cancer, health - illness/disease
educating the caregiver about medication, personal - private life or knowledge/education
beginners guide to recruiting, knowledge/education
